;;;11/10/21;;;11/10/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/10/21;
;;;;;;;;;;;;;;;;;;;
;;ARANCIO;;;AZZURRA;;;GIALLA;;;MARRONE;;;ROSA;;;VERDE;;
3/8/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
3/9/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
3/10/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
3/11/22;venerdì;UMIDO;;;VETRO;CARTA;;UMIDO;;;UMIDO;;;;SECCO;;;;
3/12/22;sabato;;;;;;;;;;;;;;;;;;
3/13/22;domenica;;;;;;;;;;;;;;;;;;
3/14/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
3/15/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
3/16/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
3/17/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
3/18/22;venerdì;UMIDO;;;;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;;;VETRO;;VETRO;SECCO;
3/19/22;sabato;;;;;;;;;;;;;;;;;;
3/20/22;domenica;;;;;;;;;;;;;;;;;;
3/21/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
3/22/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
3/23/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
3/24/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
3/25/22;venerdì;UMIDO;;;;CARTA;;UMIDO;;;UMIDO;VETRO;;;SECCO;;;;
3/26/22;sabato;;;;;;;;;;;;;;;;;;
3/27/22;domenica;;;;;;;;;;;;;;;;;;
3/28/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
3/29/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
3/30/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
3/31/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
4/1/22;venerdì;UMIDO;VETRO;;;PLASTICA/LATTINE;;UMIDO;VETRO ;;UMIDO;;;;;;;SECCO;
4/2/22;sabato;;;;;;;;;;;;;;;;;;
4/3/22;domenica;;;;;;;;;;;;;;;;;;
4/4/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
4/5/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
4/6/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
4/7/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
4/8/22;venerdì;UMIDO;;;VETRO;CARTA;;UMIDO;;;UMIDO;;;;SECCO;;;;
4/9/22;sabato;;;;;;;;;;;;;;;;;;
4/10/22;domenica;;;;;;;;;;;;;;;;;;
4/11/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
4/12/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
4/13/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
4/14/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
4/15/22;venerdì;UMIDO;;;;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;;;VETRO;;VETRO;SECCO;
4/16/22;sabato;;CARTA;;;SECCO;;;;;;CARTA;;;;;;;
4/17/22;domenica;;;;;;;;;;;;;;;;;;
4/18/22;lunedì;;;;;;;;;;;;;;;;;;
4/19/22;martedì;UMIDO; ;;UMIDO;;;UMIDO;;;UMIDO;;;UMIDO;;;UMIDO;;
4/20/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
4/21/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
4/22/22;venerdì;UMIDO;;;;CARTA;;UMIDO;;;UMIDO;VETRO;;;SECCO;;;;
4/23/22;sabato;; ;;; ;;;;;SECCO;PLASTICA/LATTINE;;;;;;;
4/24/22;domenica;;;;;;;;;;;;;;;;;;
4/25/22;lunedì;;;;;;;;;;;;;;;;;;
4/26/22;martedì;UMIDO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;;UMIDO;;;UMIDO;;;UMIDO;;
4/27/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
4/28/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
4/29/22;venerdì;UMIDO;;;;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;;;;;;SECCO;
4/30/22;sabato;;;;;;;;;; ; ;;;;;;;
5/1/22;domenica;;;;;;;;;;;;;;;;;;
5/2/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
5/3/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
5/4/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
5/5/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
5/6/22;venerdì;UMIDO;VETRO;;;CARTA;;UMIDO;VETRO;;UMIDO;;;;SECCO;;;;
5/7/22;sabato;;;;;;;;;;;;;;;;;;
5/8/22;domenica;;;;;;;;;;;;;;;;;;
5/9/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
5/10/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
5/11/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
5/12/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
5/13/22;venerdì;UMIDO;;;VETRO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;;;;;;SECCO;
5/14/22;sabato;;;;;;;;;;;;;;;;;;
5/15/22;domenica;;;;;;;;;;;;;;;;;;
5/16/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
5/17/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
5/18/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
5/19/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
5/20/22;venerdì;UMIDO;;;;CARTA;;UMIDO;;;UMIDO;;;VETRO;SECCO;;VETRO;;
5/21/22;sabato;;;;;;;;;;;;;;;;;;
5/22/22;domenica;;;;;;;;;;;;;;;;;;
5/23/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
5/24/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
5/25/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
5/26/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
5/27/22;venerdì;UMIDO;;;;PLASTICA/LATTINE;;UMIDO;;;UMIDO;VETRO;;;;;;SECCO;
5/28/22;sabato;;;;;;;;;;;;;;;;;;
5/29/22;domenica;;;;;;;;;;;;;;;;;;
5/30/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
5/31/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
6/1/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
6/2/22;giovedì;;;;;;;;;;;;;;;;;;
6/3/22;venerdì;UMIDO;VETRO;;;CARTA;;UMIDO;VETRO;;UMIDO;;;;SECCO;;;;
6/4/22;sabato;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
6/5/22;domenica;;;;;;;;;;;;;;;;;;
6/6/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
6/7/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
6/8/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
6/9/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
6/10/22;venerdì;UMIDO;;;VETRO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;;;;;;SECCO;
6/11/22;sabato;;;;;;;;;;;;;;;;;;
6/12/22;domenica;;;;;;;;;;;;;;;;;;
6/13/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
6/14/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
6/15/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
6/16/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
6/17/22;venerdì;UMIDO;;;;CARTA;;UMIDO;;;UMIDO;;;VETRO;SECCO;;VETRO;;
6/18/22;sabato;;;;;;;;;;;;;;;;;;
6/19/22;domenica;;;;;;;;;;;;;;;;;;
6/20/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
6/21/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
6/22/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
6/23/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
6/24/22;venerdì;UMIDO;;;;PLASTICA/LATTINE;;UMIDO;;;UMIDO;VETRO;;;;;;SECCO;
6/25/22;sabato;;;;;;;;;;;;;;;;;;
6/26/22;domenica;;;;;;;;;;;;;;;;;;
6/27/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
6/28/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
6/29/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
6/30/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
7/1/22;venerdì;UMIDO;VETRO;;;CARTA;;UMIDO;VETRO;;UMIDO;;;;SECCO;;;;
7/2/22;sabato;;;;;;;;;;;;;;;;;;
7/3/22;domenica;;;;;;;;;;;;;;;;;;
7/4/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
7/5/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
7/6/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
7/7/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
7/8/22;venerdì;UMIDO;;;VETRO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;;;;;;SECCO;
7/9/22;sabato;;;;;;;;;;;;;;;;;;
7/10/22;domenica;;;;;;;;;;;;;;;;;;
7/11/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
7/12/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
7/13/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
7/14/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
7/15/22;venerdì;UMIDO;;;;CARTA;;UMIDO;;;UMIDO;;;VETRO;SECCO;;VETRO;;
