;;;;;;;;;;;;;
;;MATTINA;;POMERIGGIO;;;;;;MATTINA;;POMERIGGIO;
;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;;;;;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;
3/28/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
3/29/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
3/30/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
3/31/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
4/1/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
4/2/22;sabato;;;;;;;;;;;;
4/3/22;domenica;;;;;;;;;;;;
4/4/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
4/5/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
4/6/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
4/7/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
4/8/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
4/9/22;sabato;;;;;;;;;;;;
4/10/22;domenica;;;;;;;;;;;;
4/11/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
4/12/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
4/13/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
4/14/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
4/15/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
4/16/22;sabato;;;;;;;;;;;;
4/17/22;domenica;;;;;;;;;;;;
4/18/22;lunedì;;;;;;;;;;;;
4/19/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
4/20/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
4/21/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
4/22/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
4/23/22;sabato;;;;;;;;;;;;
4/24/22;domenica;;;;;;;;;;;;
4/25/22;lunedì;;;;;;;;;;;;
4/26/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
4/27/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
4/28/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
4/29/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
4/30/22;sabato;;;;;;;;;;;;
5/1/22;domenica;;;;;;;;;;;;
5/2/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
5/3/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
5/4/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
5/5/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
5/6/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
5/7/22;sabato;;;;;;;;;;;;
5/8/22;domenica;;;;;;;;;;;;
5/9/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
5/10/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
5/11/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
5/12/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
5/13/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
5/14/22;sabato;;;;;;;;;;;;
5/15/22;domenica;;;;;;;;;;;;
5/16/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
