;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;
7/20/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
7/21/22;giovedì;VETRO 1;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
7/22/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
7/23/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
7/24/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
7/25/22;lunedì;;;;UMIDO;;;;VETRO 1;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;UMIDO;;
7/26/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 2;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
7/27/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 2;;;;;;;;;SECCO;;UMIDO;;
7/28/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 2;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
7/29/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
7/30/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
7/31/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/1/22;lunedì;;;;UMIDO;VETRO 2;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;UMIDO;;
8/2/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;VETRO;CARTA;;;;;;;
8/3/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
8/4/22;giovedì;VETRO 2;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
8/5/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
8/6/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
8/7/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/8/22;lunedì;;;;UMIDO;;;;VETRO 2;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;UMIDO;;
8/9/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 1;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
8/10/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 1;;;;;;;;;SECCO;;UMIDO;;
8/11/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 1;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
8/12/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
8/13/22;sabato;;;;UMIDO;VETRO 1;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;UMIDO;;
8/14/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/15/22;lunedì;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/16/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;CARTA;;;VETRO;;;;
8/17/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
8/18/22;giovedì;VETRO 1;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
8/19/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
8/20/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
8/21/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/22/22;lunedì;;;;UMIDO;;;;VETRO 1;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;UMIDO;;
8/23/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 2;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
8/24/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 2;;;;;;;;;SECCO;;UMIDO;;
8/25/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 2;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
8/26/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
8/27/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
8/28/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/29/22;lunedì;;;;UMIDO;VETRO 2;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;UMIDO;;
8/30/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;VETRO;CARTA;;;;;;;
8/31/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
9/1/22;giovedì;VETRO 2;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
9/2/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
9/3/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
9/4/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
9/5/22;lunedì;;;;UMIDO;;;;VETRO 2;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;UMIDO;;
9/6/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 1;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
9/7/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 1;;;;;;;;;SECCO;;UMIDO;;
9/8/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 1;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
9/9/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
9/10/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
9/11/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
9/12/22;lunedì;;;;UMIDO;VETRO 1;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;UMIDO;;
9/13/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;CARTA;;;VETRO;;;;
9/14/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
9/15/22;giovedì;VETRO 1;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
9/16/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
9/17/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
9/18/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
9/19/22;lunedì;;;;UMIDO;;;;VETRO 1;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;;;;UMIDO;;
9/20/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 2;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
9/21/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 2;;;;;;;;;SECCO;;UMIDO;;
9/22/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 2;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
9/23/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
9/24/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
9/25/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
9/26/22;lunedì;;;;UMIDO;VETRO 2;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;UMIDO;;
9/27/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;VETRO;CARTA;;;;;;;
9/28/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
9/29/22;giovedì;VETRO 2;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
9/30/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
10/1/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
10/2/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/3/22;lunedì;;;;UMIDO;;;;VETRO 2;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;;;
10/4/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 1;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
10/5/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 1;;;;;;;;;SECCO;;UMIDO;;
10/6/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 1;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
10/7/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
10/8/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
10/9/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/10/22;lunedì;;;;UMIDO;VETRO 1;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;;;
10/11/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;CARTA;;;VETRO;;;;
10/12/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
10/13/22;giovedì;VETRO 1;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
10/14/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
10/15/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
10/16/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/17/22;lunedì;;;;UMIDO;;;;VETRO 1;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;;;
10/18/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 2;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
10/19/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 2;;;;;;;;;SECCO;;UMIDO;;
10/20/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 2;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
10/21/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
10/22/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
10/23/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/24/22;lunedì;;;;UMIDO;VETRO 2;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;;;
10/25/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;VETRO;CARTA;;;;;;;
10/26/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
10/27/22;giovedì;VETRO 2;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
10/28/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
10/29/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
10/30/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/31/22;lunedì;;;;UMIDO;;;;VETRO 2;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;UMIDO;SECCO;;UMIDO;;;UMIDO;;;;;
11/1/22;martedì;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/2/22;mercoledì;UMIDO;;;;PLASTICA/LATTINE;;UMIDO;;;SECCO;PLASTICA/LATTINE;;;VETRO 1;;;;;;;;;SECCO;;UMIDO;;
11/3/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 1;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
11/4/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
11/5/22;sabato;;;;;;;;PLASTICA/LATTINE;;;VETRO 1;;;;;;;;;PLASTICA/LATTINE;;;;;UMIDO;;
11/6/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/7/22;lunedì;;;;UMIDO;VETRO 1;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;;;
11/8/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;CARTA;;;VETRO;;;;
11/9/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
11/10/22;giovedì;VETRO 1;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
11/11/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
11/12/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
11/13/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/14/22;lunedì;;;;UMIDO;;;;VETRO 1;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;;;
11/15/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 2;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
11/16/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 2;;;;;;;;;SECCO;;UMIDO;;
11/17/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 2;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
11/18/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
11/19/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
11/20/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/21/22;lunedì;;;;UMIDO;VETRO 2;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;;;
11/22/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;VETRO;CARTA;;;;;;;
11/23/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
11/24/22;giovedì;VETRO 2;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
11/25/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
11/26/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
11/27/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/28/22;lunedì;;;;UMIDO;;;;VETRO 2;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;;;
11/29/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 1;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
11/30/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 1;;;;;;;;;SECCO;;UMIDO;;
12/1/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 1;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
12/2/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
12/3/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
12/4/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/5/22;lunedì;;;;UMIDO;VETRO 1;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;;;
12/6/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;CARTA;;;VETRO;;;;
12/7/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
12/8/22;giovedì;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/9/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
12/10/22;sabato;VETRO 1;CARTA;;UMIDO;;;;;;UMIDO ;;;;;;;;;UMIDO;;;UMIDO;;;UMIDO + SECCO;CARTA;PLASTICA/LATTINE
12/11/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/12/22;lunedì;;;;UMIDO;;;;VETRO 1;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;;;
12/13/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 2;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
12/14/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 2;;;;;;;;;SECCO;;UMIDO;;
12/15/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 2;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
12/16/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
12/17/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
12/18/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/19/22;lunedì;;;;UMIDO;VETRO 2;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;;;
12/20/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;VETRO;CARTA;;;;;;;
12/21/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
12/22/22;giovedì;VETRO 2;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
12/23/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
12/24/22;sabato;;;;UMIDO;;;;VETRO 2;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;UMIDO;;
12/25/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/26/22;lunedì;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/27/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 1;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
12/28/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 1;;;;;;;;;SECCO;;UMIDO;;
12/29/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 1;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
12/30/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
12/31/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
