;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;
2/15/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;VETRO;CARTA;;;;;;;
2/16/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
2/17/22;giovedì;VETRO 2;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
2/18/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
2/19/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
2/20/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/21/22;lunedì;;;;UMIDO;;;;VETRO 2;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;;;
2/22/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 1;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
2/23/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 1;;;;;;;;;SECCO;;UMIDO;;
2/24/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 1;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
2/25/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
2/26/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
2/27/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/28/22;lunedì;;;;UMIDO;VETRO 1;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;;;
3/1/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;CARTA;;;VETRO;;;;
3/2/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
3/3/22;giovedì;VETRO 1;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
3/4/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
3/5/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
3/6/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
3/7/22;lunedì;;;;UMIDO;;;;VETRO 1;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;;;
3/8/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 2;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
3/9/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 2;;;;;;;;;SECCO;;UMIDO;;
3/10/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 2;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
3/11/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
3/12/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
3/13/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
3/14/22;lunedì;;;;UMIDO;VETRO 2;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;;;
3/15/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;VETRO;CARTA;;;;;;;
3/16/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
3/17/22;giovedì;VETRO 2;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
3/18/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
3/19/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
3/20/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
3/21/22;lunedì;;;;UMIDO;;;;VETRO 2;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;;;
3/22/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 1;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
